Gestor;Canal de Origem;Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;Análise da Recusa
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Terra de Areia;M;entre 21 a 30 anos;2024;12;02/12/2024;10/12/2024;Sem Parar;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Itaboraí;F;entre 21 a 30 anos;2024;12;02/12/2024;;Magazine Luiza - Loja Física;Varejo;Produtos Eletrodomésticos e Eletrônicos;Televisão;Contrato / Oferta;Venda casada (garantia estendida, seguro, cursos etc);Loja física;S;N;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Bragança Paulista;M;até 20 anos;2024;12;02/12/2024;20/12/2024;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);SMS / Mensagem de texto;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;N ;AM;Manaus;F;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Negativação indevida referente à pagamento já efetuado;Internet;N;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Lagoa Santa;M;até 20 anos;2024;12;02/12/2024;23/12/2024;Banco C6 Consignado (Banco Ficsa);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;Vila Velha;M;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;PicPay;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Renegociação / parcelamento de dívida;Internet;N;S;Finalizada não avaliada;Não Avaliada;;
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Itajaí;M;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Banco Santander Cartões (DESATIVADA ? Atual Banco Santander);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Seguro Viagem;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Vitória da Conquista;F;entre 31 a 40 anos;2024;12;02/12/2024;10/12/2024;Carrefour.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Recife;F;entre 41 a 50 anos;2024;12;02/12/2024;11/12/2024;PicPay;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (exceto SAC);Internet;N;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Esmeraldas;F;entre 21 a 30 anos;2024;12;02/12/2024;17/12/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Dados Pessoais e Privacidade;Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Instituto Municipal de Proteção e Defesa do Consumidor;Plataforma Web;NE;BA;Salvador;M;entre 31 a 40 anos;2024;12;02/12/2024;;Magazine Luiza - Loja Online;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Internet;S;N;Finalizada não avaliada;Não Avaliada;;
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;São João de Meriti;M;entre 31 a 40 anos;2024;12;02/12/2024;10/12/2024;C6 Bank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;Vila Velha;M;entre 41 a 50 anos;2024;12;02/12/2024;10/12/2024;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Dados Pessoais e Privacidade;Dados Sensíveis - Coleta, uso ou compartilhamento indevido / não autorizado de dado sobre origem racial, étnica, convicção religiosa, filosófica, política, saúde ou vida sexual, genético ou biométrico;Catálogo;N;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Timóteo;F;entre 41 a 50 anos;2024;12;02/12/2024;10/12/2024;Azul Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Cancelamento de voo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Sete Lagoas;F;entre 21 a 30 anos;2024;12;02/12/2024;12/12/2024;PicPay;Empresas de Pagamento Eletrônico;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Niterói;F;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Amil;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Carlos;F;entre 51 a 60 anos;2024;12;02/12/2024;10/12/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Instituto Municipal de Proteção e Defesa do Consumidor;Plataforma Web;SE;RJ;Rio de Janeiro;F;entre 21 a 30 anos;2024;12;02/12/2024;11/12/2024;Avon;Perfumaria, Cosméticos e Higiene Pessoal;Demais Produtos;Perfumaria, cosméticos e higiene pessoal;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;M;entre 51 a 60 anos;2024;12;02/12/2024;12/12/2024;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 61 a 70 anos;2024;12;02/12/2024;10/12/2024;Banco do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Vício de Qualidade;Clonagem, fraude, furto e roubo;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Itaperuna;F;entre 61 a 70 anos;2024;12;02/12/2024;12/12/2024;Luizacred;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;CO;DF;Brasília;F;entre 41 a 50 anos;2024;12;02/12/2024;13/12/2024;Banco Pan ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;NE;SE;Nossa Senhora da Glória;M;entre 21 a 30 anos;2024;12;02/12/2024;10/12/2024;Azul Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Contrato / Oferta;Dificuldade / demora para alterar o contrato de serviço (alteração de voo);Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Uberaba;F;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Seguro Habitacional (financiamento para aquisição, reforma ou construção de imóvel);Cobrança / Contestação;Renegociação / parcelamento de dívida;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Uberaba;F;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;N;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Osasco;M;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Monte Carmelo;M;entre 31 a 40 anos;2024;12;02/12/2024;23/12/2024;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Florianópolis;M;entre 51 a 60 anos;2024;12;02/12/2024;;Casan - Companhia Catarinense de Águas e Saneamento;Agua e Saneamento;Água, Energia, Gás;Água e Esgoto;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Domicílio;S;N;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;CO;DF;Brasília;F;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Vivara;Vestuário, Calçados e Acessórios;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Joinville;F;mais de 70 anos;2024;12;02/12/2024;11/12/2024;Eudora (Interbelle);Perfumaria, Cosméticos e Higiene Pessoal;Demais Produtos;Perfumaria, cosméticos e higiene pessoal;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Ganhei de presente;N;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;São Nicolau;M;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Magazine Luiza - Loja Online;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Ribeirão Pires;M;entre 21 a 30 anos;2024;12;02/12/2024;;Magazine Luiza - Loja Online;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc );Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 41 a 50 anos;2024;12;02/12/2024;10/12/2024;Enel Distribuição São Paulo (Eletropaulo);Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Atendimento / SAC;Dificuldade de contato / acesso a outros canais (exceto SAC);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Mauá;M;entre 21 a 30 anos;2024;12;02/12/2024;10/12/2024;Air France;Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações);Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Cananéia;F;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Cobrança / Contestação;Renegociação / parcelamento de dívida;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;CO;DF;Brasília;M;entre 31 a 40 anos;2024;12;02/12/2024;16/12/2024;Neoenergia Brasília (CEB);Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Cobrança / Contestação;Negativação indevida (SPC, Serasa, SCPC etc);Domicílio;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Paulínia;M;entre 31 a 40 anos;2024;12;02/12/2024;;Editora Globo;Editoras e Veículos de Imprensa;Demais Serviços ;Jornais, revistas e demais veículos de notícias;Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Internet;S;N;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Diadema;M;entre 41 a 50 anos;2024;12;02/12/2024;11/12/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Santos;M;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Dificuldade para alterar/ ativar serviços;SMS / Mensagem de texto;S;S;Finalizada não avaliada;Não Avaliada;;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;F;entre 41 a 50 anos;2024;12;02/12/2024;10/12/2024;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida - desconhece motivo e/ou fornecedor;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Magistério;F;entre 21 a 30 anos;2024;12;02/12/2024;10/12/2024;Air France;Transporte Aéreo;Demais Serviços ;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Contrato / Oferta;Alteração / rescisão de contrato sem solicitação / aviso prévio;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Itajaí;F;entre 41 a 50 anos;2024;12;02/12/2024;12/12/2024;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Curitiba;F;entre 41 a 50 anos;2024;12;02/12/2024;12/12/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São José do Rio Preto;M;entre 21 a 30 anos;2024;12;02/12/2024;10/12/2024;Luizacred;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida referente à pagamento já efetuado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 51 a 60 anos;2024;12;02/12/2024;10/12/2024;Tokio Marine;Seguros, Capitalização e Previdência;Serviços Financeiros;Seguros de Veículos;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Valinhos;M;entre 31 a 40 anos;2024;12;02/12/2024;16/12/2024;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São José do Rio Preto;M;entre 21 a 30 anos;2024;12;02/12/2024;10/12/2024;Banco BTG Pactual;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida referente à pagamento já efetuado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Santa Maria;F;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Dados Pessoais e Privacidade;Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Juiz de Fora;F;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Banco Mercantil do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;NE;RN;Parnamirim;M;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Balneário Camboriú;M;entre 21 a 30 anos;2024;12;02/12/2024;10/12/2024;99Pay;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Varginha;F;entre 31 a 40 anos;2024;12;02/12/2024;11/12/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;F;entre 41 a 50 anos;2024;12;02/12/2024;13/12/2024;Qualicorp;Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Cobrança / Contestação;Reajuste ? dúvida ou discordância (exceto idoso);Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Superintendência de Proteção e Defesa do Consumidor;Plataforma Web;CO;GO;Goiânia;M;entre 31 a 40 anos;2024;12;02/12/2024;10/12/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Barretos;M;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Luizacred;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Trindade;F;entre 21 a 30 anos;2024;12;02/12/2024;;Real Maia (Azul);Transporte Terrestre;Transportes;Rodoviário interestadual / intermunicipal;Vício de Qualidade;Meia entrada ? recusa / falta de informação;Telefone;S;N;Finalizada não avaliada;Não Avaliada;;
Secretaria Nacional do Consumidor;Plataforma Web;NE;SE;Aracaju;F;entre 41 a 50 anos;2024;12;02/12/2024;12/12/2024;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança de compra/saque não reconhecido;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Campinas;F;entre 31 a 40 anos;2024;12;02/12/2024;10/12/2024;Azul Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Negativa de embarque de passageiro (preterição / overbooking);Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Curitiba;M;entre 41 a 50 anos;2024;12;02/12/2024;11/12/2024;HDI Seguros;Seguros, Capitalização e Previdência;Serviços Financeiros;Seguros de Veículos;Contrato / Oferta;Negativa de cobertura / Demora injustificada ou Divergência na indenização;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Coordenação Estadual do Procon de Rondônia;Plataforma Web;N ;RO;Nova Brasilândia D'Oeste;M;entre 21 a 30 anos;2024;12;02/12/2024;12/12/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;Patos;M;entre 31 a 40 anos;2024;12;02/12/2024;12/12/2024;Energisa Paraíba;Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Contrato / Oferta;Dificuldade para obter nova ligação de energia ou alteração de carga (sem necessidade de obras);Telefone;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 21 a 30 anos;2024;12;02/12/2024;20/12/2024;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada avaliada;Não Resolvida;1;Improcedente
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;Vila Velha;F;entre 41 a 50 anos;2024;12;02/12/2024;11/12/2024;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Garanhuns;M;entre 31 a 40 anos;2024;12;02/12/2024;10/12/2024;Neoenergia Pernambuco (Celpe);Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Cobrança / Contestação;Cobrança por serviços não realizados / atrasados ou por consumo elevado;Internet;S;S;Finalizada não avaliada;Não Avaliada;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 31 a 40 anos;2024;12;02/12/2024;;Sabesp;Agua e Saneamento;Água, Energia, Gás;Água e Esgoto;Vício de Qualidade;Má qualidade do serviço;Loja física;S;N;Finalizada não avaliada;Não Avaliada;;
